user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
건들건들,3,2019년 8월 5일,2019년 8월 5일,원티드에서 이력서를 작성할때 하나하나 수정하고 저장을 눌러도 저장이 되지않고 막상 저장버튼을 눌러도 보면 제가 적은 회사이름도 쓰여져 있지 않고 이래요. 이력서 쓰는 게 너무 불편해서 지원이 어려워요 ㅜㅜ 지원하는게 너무 불편해요 근데 원래 합.불합 피드백은 회사 재량이고 피드백 안주는게 일반적이지 않아요? 그것도 원티드에 컴플을 걸어요?,no_specific_comment,answer
Tae-Hoon KIM,5,2019년 8월 24일,2019년 8월 24일,왠만한 구직 어플보다 인터페이스가 깔끔하며 추천인 제도가 정말 좋은 거 같아요. 연봉이라든지 모든 정보가 구직자 편의를 맞춰 정리되어 있어 프리미엄 정보 같아 신뢰가 갑니다.,no_specific_comment,answer
금디,5,2019년 8월 11일,2019년 8월 11일,"앱 아이콘의 가방이 무슨 뜻인지 알기 어려웠고 가끔 인터페이스가 헷갈릴 때가 있습니다. 그러나 이력서 작성 폼이 깔끔하고, 좋은 채용공고가 많아서 유용하게 쓰고 있습니다.",no_specific_comment,answer
minsu kong,3,2019년 8월 19일,2019년 8월 19일,서비스는 만족 스럽지만 앱이 좀 허접합니다. 실제로 pc에서도 느릿한 포퍼먼스... 데이터를 불러오는 속도도 엄청 느리네요,no_specific_comment,answer
Taekyung Kim,5,2019년 9월 11일,2019년 9월 11일,이력서 작성이 편합니다,no_specific_comment,answer
jong heon choi,5,2019년 9월 11일,2019년 9월 11일,좋아요,no_specific_comment,answer
김보민,4,2019년 9월 9일,2019년 9월 9일,입사지원이 편리하고 복지좋은 회사정보가 많아 좋아요!,no_specific_comment,answer
김동국,2,2019년 9월 6일,2019년 9월 6일,직군업무 선택 선택지가 너무 적습니다. 총무 업무 및 it.전산.보안 쪽이 전혀 없군요,no_specific_comment,answer
정보영,5,2019년 9월 4일,2019년 9월 4일,원티드 사람인이나 잡플보다 보기편하고 깔끔해요 피드백도 좋고.,no_specific_comment,answer
ramuth,5,2019년 8월 29일,2019년 8월 29일,직업 검색과 지원서 관리 등이 빠르고 편하게 되어 있습니다.,no_specific_comment,answer
Tae-Hoon KIM,5,2019년 8월 24일,2019년 8월 24일,왠만한 구직 어플보다 인터페이스가 깔끔하며 추천인 제도가 정말 좋은 거 같아요. 연봉이라든지 모든 정보가 구직자 편의를 맞춰 정리되어 있어 프리미엄 정보 같아 신뢰가 갑니다.,no_specific_comment,answer
Hoeun Kim,5,2019년 8월 23일,2019년 8월 23일,이직 중에 발견했는데 잘 정리된 것 같고 간단하게 되어있어 좋아요,no_specific_comment,answer
이지연,5,2019년 8월 22일,2019년 8월 22일,프로필 복사 기능이 있음 좋겠어요 새프로필 작성시 경력을 또 써야해서 번거로워요,no_specific_comment,answer
jisu jun,3,2019년 8월 21일,2019년 8월 21일,채용담당자가 자주 확인 하지않음을 제외하면 이용하는데 불편함 없습니다,no_specific_comment,answer
ryan kim,4,2019년 8월 21일,2019년 8월 21일,이력서에 대한 자유도가 좀 더 있었으면 좋겠습니다.,no_specific_comment,answer
minsu kong,3,2019년 8월 19일,2019년 8월 19일,서비스는 만족 스럽지만 앱이 좀 허접합니다. 실제로 pc에서도 느릿한 포퍼먼스... 데이터를 불러오는 속도도 엄청 느리네요,no_specific_comment,answer
ken kim,5,2019년 8월 19일,2019년 8월 19일,검색방법이 특이하지만 좋네요. 서칭도 빠르고요.,no_specific_comment,answer
jinwoo Hong,5,2019년 8월 19일,2019년 8월 19일,잘쓰고있어요,no_specific_comment,answer
John Yong Il mun,5,2019년 8월 16일,2019년 8월 16일,좋습니다.,no_specific_comment,answer
맞다,4,2019년 8월 14일,2019년 8월 14일,좋네요,no_specific_comment,answer
Sang-gun Lee,3,2019년 8월 12일,2019년 8월 12일,UX 가 애매하다. 연락이 와서 수락을 했는데 도대체 진행을 어떻게 해야하는건가? 원티드에서 스스로 자신들 앱 써보길.,no_specific_comment,answer
Carina Lee,5,2019년 8월 12일,2019년 8월 12일,간편한 지원으로 이직준비하는 직장인에게 너무좋습니다,no_specific_comment,answer
금디,5,2019년 8월 11일,2019년 8월 11일,"앱 아이콘의 가방이 무슨 뜻인지 알기 어려웠고 가끔 인터페이스가 헷갈릴 때가 있습니다. 그러나 이력서 작성 폼이 깔끔하고, 좋은 채용공고가 많아서 유용하게 쓰고 있습니다.",no_specific_comment,answer
Seunghoon Ko,5,2019년 8월 6일,2019년 8월 6일,"UI/UX 굿, 성능 OK.",no_specific_comment,answer
최수만,5,2019년 8월 5일,2019년 8월 5일,다른곳보다 ㅋㅋ UI가 좋아요,no_specific_comment,answer
건들건들,3,2019년 8월 5일,2019년 8월 5일,원티드에서 이력서를 작성할때 하나하나 수정하고 저장을 눌러도 저장이 되지않고 막상 저장버튼을 눌러도 보면 제가 적은 회사이름도 쓰여져 있지 않고 이래요. 이력서 쓰는 게 너무 불편해서 지원이 어려워요 ㅜㅜ 지원하는게 너무 불편해요 근데 원래 합.불합 피드백은 회사 재량이고 피드백 안주는게 일반적이지 않아요? 그것도 원티드에 컴플을 걸어요?,no_specific_comment,answer
Jang Seongwon,1,2019년 7월 30일,2019년 7월 30일,"지원한 업체에서 피드백을 안주면 피드백을 주게 관리해줘야하는게 아닐까 싶은데요... 지원한 업체에서 2주간 아무 피드백 없었는데 원티드에서 공지 메일하나 띡 오더니 15일간 피드백 없으면 대부분 떨어진거라며 다른업체 알아보고 지원하라니... 지원자가 지원했으면 피드백까지 확실히 받을 수 있게 해주는게 서비스가 아닐까 생각되네요. 단순히 채용공고 풀 올려놓고 보여주는건 서비스는 아닌듯.. 지원 후 관리까지 해주는게 진짜 서비스 겠지요. 채용 보상금, 추천보상금 이라는 보여주기식 미끼만 풀지말고 뒷단의 실제 고객경험도 생각해 주시지요.",no_specific_comment,answer
HSW,5,2019년 7월 30일,2019년 7월 30일,사용하기 편리합니다,no_specific_comment,answer
minji kim,5,2019년 7월 29일,2019년 7월 29일,스타트업 채용 포지션을 탐색할 수 있는 좋은 앱,no_specific_comment,answer
김태훈,5,2019년 7월 25일,2019년 7월 25일,감사합니다.,no_specific_comment,answer
최민규,5,2019년 7월 24일,2019년 7월 24일,앱이 정말 깔끔하며 제공하는 이력서 시스템 강추,no_specific_comment,answer
이정일,5,2019년 7월 23일,2019년 7월 23일,다 좋은데요. 회사 위치 지역 기준 검색도 되었으면 좋겠습다.,no_specific_comment,answer
정승일,5,2019년 7월 17일,2019년 7월 17일,고맙습니다. 서비스 만들어주셔서,no_specific_comment,answer
김태수,4,2019년 7월 16일,2019년 7월 16일,아직 좀더써봐야 알겟지만 좋아요,no_specific_comment,answer
Yoonki Kim,5,2019년 7월 12일,2019년 7월 12일,좋은 플랫폼입니다.,no_specific_comment,answer
이나래,5,2019년 7월 10일,2019년 7월 10일,좋아요,no_specific_comment,answer
별럽,1,2019년 7월 10일,2019년 7월 25일,매칭하려고 올려 놨는데도 이력서 보는 기업이 전혀없음.게다가 대부분 스펙을 좀 보는거같고 이렇게 매칭 이력서 올려놔도 몇주가 지나도 매칭도 안되는 데 굳이 이런 어플이 필요할까 생각함.게다가 너무 기업 폭이 매우매우 좁음.진짜 별루인 어플임 왜 있는지도 모르겠는 어플임.,no_specific_comment,answer
오효중,5,2019년 7월 8일,2019년 7월 8일,합격!,no_specific_comment,answer
테라폼,5,2019년 7월 7일,2019년 7월 7일,굿 좋은 플랫폼입니다,no_specific_comment,answer
쪼유,1,2019년 7월 6일,2019년 7월 8일,광고에는 떡하니 반려동물이라 적어놓고 직업에는 미용사 반려동물 관해서는 전혀 없네요 과대광고에 실용성이 없는것 같습니다,no_specific_comment,answer
김시현,2,2019년 7월 4일,2019년 7월 4일,평균직장연봉 검색된다길래 봤더니 아무정보도 없네료,no_specific_comment,answer
JaeSeung Park,5,2019년 7월 4일,2019년 7월 4일,가시성이 좋습니다,no_specific_comment,answer
park jaehyun,4,2019년 7월 3일,2019년 7월 3일,아직 초반이지만 좋은 평가를 줄 만큼 구성체계가 좋다 하지만 바이오 제약 의료 분야에 대한 폭이 작은 것이 아쉽다 아이티산업에 치중되어있다고 생각한다,no_specific_comment,answer
HyunWoo Park,5,2019년 6월 26일,2019년 6월 26일,굿,no_specific_comment,answer
최광수,5,2019년 6월 24일,2019년 6월 24일,굿,no_specific_comment,answer
Kim jae-eok,5,2019년 6월 24일,2019년 6월 24일,특정기업에 대하여 열람을 제한하는 기능은 없나요?,no_specific_comment,answer
Namil Kim,5,2019년 6월 22일,2019년 6월 22일,"카테고리별로 잘 나눠져있으나, 세부카테고리만 적용되면 좋겠습니다.",no_specific_comment,answer
lottie you,1,2019년 6월 22일,2019년 6월 22일,탈퇴가 안됩니다. 탈퇴버튼 누르고 사유를 클릭해도 그다음으로 넘어가지지 않아요.,no_specific_comment,answer
YJ KIM,5,2019년 6월 19일,2019년 6월 19일,다른 사이트보다 훨씬 더 매력적인 회사가 많습니다.,no_specific_comment,answer
KANG MINWOO,5,2019년 6월 18일,2019년 6월 18일,좋아요,no_specific_comment,answer
이수영,5,2019년 6월 14일,2019년 6월 14일,사용성이 편하고 좋습니다!,no_specific_comment,answer
